License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403-01337,SOLACE MEDS OF WHEAT RIDGE LLC,None,Medical Marijuana Cultivation,4845 Van Gordon Street,Wheat Ridge,80033,2025-05-01
403-01271,STONE T.M.C. LLC,The Stone,Medical Marijuana Cultivation,1828 South Bannock Street,Denver,80223,2025-05-01
403-00053,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Medical Marijuana Cultivation,2042 South Bannock Street,Denver,80223,2025-05-01
403-01733,SUNHOUSE COLORADO LLC,Sunhouse,Medical Marijuana Cultivation,4640 North Ironton Street,Denver,80239,2025-05-01
403-02342,SUNRISE SOLUTIONS,None,Medical Marijuana Cultivation,43 Main Street,Bailey,80421,2025-05-01
403-02393,SUNSHINE BROADWAY LLC ,Sunshine,Medical Marijuana Cultivation,4949 Broadway Street Unit 55 & 56,Boulder,80304,2025-05-01
403-01945,SUNSHINE EXTRACTS LLC,Sunshine,Medical Marijuana Cultivation,7183 Arapahoe Road Unit A,Boulder,80303,2025-05-01
403-01999,SUNSHINE II LLC,None,Medical Marijuana Cultivation,"7183 Arapahoe Road, Unit B",Boulder,80301,2025-05-01
403-02394,SUNSHINE NORTH LLC,Sunshine Flower,Medical Marijuana Cultivation,6859 North Foothills Highway Building G,Boulder,80302,2025-05-01
403-00685,SUSTAINABLE HEALTH LLC,14er Gardens,Medical Marijuana Cultivation,1840 Commerce Street Units D & E,Boulder,80301,2025-05-01
403-00744,SWEET DS FARMS LLC,Inferno Natural Gas,Medical Marijuana Cultivation,"5200 East Smith Road, Unit 100",Denver,80216,2025-05-01
403-00912,SWEET LEAF PIONEER LLC,None,Medical Marijuana Cultivation,825A Chambers Avenue,Eagle,81631,2025-05-01
403-01499,SWEETWATER PARTNERS LLC,WS El Jefe,Medical Marijuana Cultivation,4260 Kearney Street,Denver,80216,2025-05-01
403-01304,THE EPIC REMEDY LLC,The ER,Medical Marijuana Cultivation,2280 East Bijou Street,Colorado Springs,80909,2025-05-01
403-00575,THE EPIC REMEDY LLC,The ER,Medical Marijuana Cultivation,2565 Weston Road,Colorado Springs,80910,2025-05-01
403-01819,THE EPIC REMEDY LLC,The ER,Medical Marijuana Cultivation,2585 Weston Road,Colorado Springs,80910,2025-05-01
403-01829,THE GOLDEN SUMMIT LLC,The Apotheke,Medical Marijuana Cultivation,2582 South Academy Boulevard,Colorado Springs,80916,2025-05-01
403-01091,THE GREEN BUILDING LLC,None,Medical Marijuana Cultivation,1397 South Cherokee Street,Denver,80223,2025-05-01
403-00208,THE GREEN SOLUTION LLC,None,Medical Marijuana Cultivation,4394 North Grape Street,Denver,80216,2025-05-01
403-01742,THE HEALING CANNA LLC,HEALING CANNA,Medical Marijuana Cultivation,2304 East Bijou Street,Colorado Springs,80909,2025-05-01
403-00867,THE HEALING CANNA LLC,HEALING CANNA,Medical Marijuana Cultivation,3330 South Drennan Industrial Loop,Colorado Springs,80909,2025-05-01
403-01132,THE HERB SHOPPE LLC,The Herb Shoppe,Medical Marijuana Cultivation,"3020 West Colorado Avenue, Suite B & C",Colorado Springs,80904,2025-05-01
403-01422,THE ORGANIC SEED LLC,FUMO,Medical Marijuana Cultivation,41 North Precision Drive,Pueblo West,81007,2025-05-01
403-01309,THE SLOTH LLC,None,Medical Marijuana Cultivation,"4600 North Ironton Street, Unit 102",Denver,80239,2025-05-01
403-01585,THREE RIVERS DEVELOPMENT LLC,Three Rivers Dispensary,Medical Marijuana Cultivation,83 North Magneto Drive,Pueblo West,81007,2025-05-01
403-02386,TNT BOTANICALS LLC,Pot Zero,Medical Marijuana Cultivation,11157 Gypsum Creek Road,Gypsum,81637,2025-05-01
403-01767,TOTAL GREEN LLC,TOTAL GREEN,Medical Marijuana Cultivation,1105 South Chelton Road,Colorado Springs,80910,2025-05-01
403-00349,TRICHOME HEALTH CONSULTANTS INC,Trichome Health Consultants,Medical Marijuana Cultivation,"3425 Van Teylingen Drive, Unit D & E",Colorado Springs,80917,2025-05-01
403-01563,TRINIDADS HIGHER CALLING U LLC,None,Medical Marijuana Cultivation,1000 Independence Road,Trinidad,81082,2025-05-01
403-01660,TROY ENTERPRISES LLC,ELEVATIONS,Medical Marijuana Cultivation,8270 Razorback Road,Colorado Springs,80920,2025-05-01
403-01971,TY WEBB ENTERPRISES LLC,None,Medical Marijuana Cultivation,9792 East Hanover Court,Henderson,80640,2025-05-01
403-01618,URBANE DEVELOPERS LLC,Cherry,Medical Marijuana Cultivation,2191 South Jason Street,Denver,80223,2025-05-01
403-01536,VIOLA INC,Viola's Extracts,Medical Marijuana Cultivation,4645 North Joliet Street,Denver,80239,2025-05-01
403-02019,VIOLET BLOOM LLC,None,Medical Marijuana Cultivation,19812 Tamarack Lane,Ordway,81063,2025-05-01
403-00493,VIRGIN MARY LLC,None,Medical Marijuana Cultivation,2731 West Short Place,Denver,80204,2025-05-01
403-01509,WELLNESS CENTER OF THE ROCKIES INC,The Center,Medical Marijuana Cultivation,2130 South Lipan Street,Denver,80223,2025-05-01
403-01726,WESTWARD SUMMIT LLC,High Country Healing,Medical Marijuana Cultivation,"4242 North Elizabeth Street, Unit 1",Denver,80216,2025-05-01
403-01474,YETI FARMS LLC,Yeti Farms LLC,Medical Marijuana Cultivation,1650 Siloam Road,Pueblo,81005,2025-05-01
403-01638,ZIPZ LLC,zipz,Medical Marijuana Cultivation,3745 Interpark Drive,Colorado Springs,80907,2025-05-01
